Year,Hour,Wind Speed  ,
2016,0,5.68,5.5
2016,1,4.85,4.5
2016,2,4.85,4.5
2016,3,5.35,5.5
2016,4,5.1,5.5
2016,5,5.35,5.5
2016,6,5.91,5.5
2016,7,6.82,6.5
2016,8,7.78,7.5
2016,9,8.6,8.5
2016,10,9.49,9.5
2016,11,10.24,10.5
2016,12,10.88,10.5
2016,13,9.4,9.5
2016,14,9.78,9.5
2016,15,9.62,9.5
2016,16,9.52,9.5
2016,17,9.4,9.5
2016,18,9.15,9.5
2016,19,8.89,8.5
2016,20,8.79,8.5
2016,21,8.16,8.5
2016,22,7.5,7.5
2016,23,6.71,6.5
2016,0,6.13,6.5
2016,1,5.32,5.5
2016,2,4.61,4.5
2016,3,5.19,5.5
2016,4,5.1,5.5
2016,5,5.47,5.5
2016,6,5.47,5.5
2016,7,5.81,5.5
2016,8,5.71,5.5
2016,9,6.32,6.5
2016,10,6.53,6.5
2016,11,6.89,6.5
2016,12,7.69,7.5
2016,13,8.32,8.5
2016,14,8.9,8.5
2016,15,9.25,9.5
2016,16,9.65,9.5
2016,17,9.14,9.5
2016,18,8.42,8.5
2016,19,7.81,7.5
2016,20,8.2,8.5
2016,21,8.1,8.5
2016,22,8.37,8.5
2016,23,7.47,7.5
2016,0,6.58,6.5
2016,1,6.3,6.5
2016,2,5.32,5.5
2016,3,4.27,4.5
2016,4,4.52,4.5
2016,5,4.81,4.5
2016,6,5.1,5.5
2016,7,5.32,5.5
2016,8,4.63,4.5
2016,9,4.39,4.5
2016,10,5.61,5.5
2016,11,7.52,7.5
2016,12,8.16,8.5
2016,13,8.51,8.5
2016,14,9.4,9.5
2016,15,9.8,9.5
2016,16,10.02,10.5
2016,17,9.84,9.5
2016,18,9.38,9.5
2016,19,8.87,8.5
2016,20,8.47,8.5
2016,21,8.29,8.5
2016,22,8.46,8.5
2016,23,8.55,8.5
2016,0,8.74,8.5
2016,1,9.03,9.5
2016,2,8.75,8.5
2016,3,8.08,8.5
2016,4,7.92,7.5
2016,5,8.22,8.5
2016,6,8.43,8.5
2016,7,8.18,8.5
2016,8,7.96,7.5
2016,9,8.6,8.5
2016,10,8.91,8.5
2016,11,9.09,9.5
2016,12,8.93,8.5
2016,13,7.65,7.5
2016,14,7.98,7.5
2016,15,8.03,8.5
2016,16,8.13,8.5
2016,17,7.96,7.5
2016,18,7.68,7.5
2016,19,6.65,6.5
2016,20,6.49,6.5
2016,21,6.46,6.5
2016,22,6.36,6.5
2016,23,6.38,6.5
2016,0,6.17,6.5
2016,1,5.85,5.5
2016,2,5.32,5.5
2016,3,4.9,4.5
2016,4,5.57,5.5
2016,5,5.73,5.5
2016,6,5.86,5.5
2016,7,5.86,5.5
2016,8,5.86,5.5
2016,9,7.08,7.5
2016,10,8.85,8.5
2016,11,9.43,9.5
2016,12,9.68,9.5
2016,13,9.59,9.5
2016,14,10.01,10.5
2016,15,10.03,10.5
2016,16,9.75,9.5
2016,17,9.49,9.5
2016,18,8.64,8.5
2016,19,7.73,7.5
2016,20,7.15,7.5
2016,21,7.19,7.5
2016,22,6.99,6.5
2016,23,6.99,6.5
2016,0,6.74,6.5
2016,1,6.82,6.5
2016,2,6.87,6.5
2016,3,6.8,6.5
2016,4,6.71,6.5
2016,5,6.3,6.5
